COUNTRY,DATE,VALUE
American Samoa,2021,4.85
American Samoa,2020,4.8
American Samoa,2019,4.75
American Samoa,2018,4.7
American Samoa,2017,4.65
American Samoa,2016,4.6
American Samoa,2015,4.55
American Samoa,2014,4.5
American Samoa,2013,4.45
American Samoa,2012,4.4
American Samoa,2011,4.35
American Samoa,2010,4.3
American Samoa,2009,4.25
American Samoa,2008,4.2
American Samoa,2007,4.15
American Samoa,2006,4.1
American Samoa,2005,4.05
American Samoa,2004,4.0
American Samoa,2003,3.95
American Samoa,2002,3.9
American Samoa,2001,3.85
American Samoa,2000,3.8
American Samoa,1999,3.75
American Samoa,1998,3.65
American Samoa,1997,3.6
American Samoa,1996,3.55
American Samoa,1995,3.5
American Samoa,1994,3.45
American Samoa,1993,3.4
American Samoa,1992,3.35
American Samoa,1991,3.25
American Samoa,1990,3.2
American Samoa,1989,3.2
American Samoa,1988,3.2
American Samoa,1987,3.2
American Samoa,1986,3.2
American Samoa,1985,3.2
American Samoa,1984,3.2
American Samoa,1983,3.2
American Samoa,1982,3.2
American Samoa,1981,3.2
American Samoa,1980,3.2
American Samoa,1979,3.2
American Samoa,1978,3.2
American Samoa,1977,3.2
American Samoa,1976,3.2
American Samoa,1975,3.2
American Samoa,1974,3.2
American Samoa,1973,3.2
American Samoa,1972,3.2
American Samoa,1971,3.2
American Samoa,1970,3.2
American Samoa,1969,3.2
American Samoa,1968,3.2
American Samoa,1967,3.2
American Samoa,1966,3.2
American Samoa,1965,3.2
American Samoa,1964,3.2
American Samoa,1963,3.2
American Samoa,1962,3.2
American Samoa,1961,3.2
