COUNTRY,DATE,VALUE
Andean Region,2014,49.7292696164
Andean Region,2009,48.7619988656
Andean Region,2004,46.1757556349
Andean Region,2000,45.9353165309
Argentina,2014,77.3730115903
Argentina,2013,77.5576201113
Argentina,2012,77.9520904157
Argentina,2011,77.8300924684
Argentina,2010,77.7436053357
Argentina,2009,76.6418870403
Argentina,2008,77.0051109713
Argentina,2007,77.3945604357
Argentina,2006,76.7512168447
Argentina,2005,75.2473582332
Argentina,2004,75.0588685519
Bolivia,2014,39.1115963933
Bolivia,2013,41.8319011648
Bolivia,2012,42.7521784692
Bolivia,2011,41.9992988601
Bolivia,2009,43.9711919639
Bolivia,2008,41.4258691767
Bolivia,2007,42.5823344454
Bolivia,2006,40.0254835568
Bolivia,2005,38.282146991
Bolivia,2002,35.6507549576
Bolivia,2001,37.5267784615
Bolivia,2000,34.5746980429
Brazil,2014,69.6722589239
Brazil,2012,70.3865162687
Brazil,2011,69.9623384383
Brazil,2009,68.4935821421
Brazil,2008,68.0721050565
Brazil,2007,66.9769282775
Brazil,2006,65.999809047
Brazil,2005,65.1763247851
Brazil,2004,65.1850151293
Brazil,2003,64.6200260918
Brazil,2002,64.5328499241
Brazil,2001,64.7487937618
Central America,2014,60.7431801433
Central America,2009,57.4932404003
Central America,2004,57.2809361937
Central America,2000,56.1779556373
Chile,2013,79.7527859272
Chile,2011,78.7907701149
Chile,2009,77.8784525691
Chile,2006,77.1858661952
Chile,2003,75.6006814016
Chile,2000,75.0614187995
Colombia,2014,50.1019165898
Colombia,2013,49.4143013227
Colombia,2012,48.1868805024
Colombia,2011,48.073976748
Colombia,2010,48.4175982265
Colombia,2009,49.3288983121
Colombia,2008,49.9622472109
Colombia,2005,51.9535489387
Colombia,2004,49.5675873659
Colombia,2003,49.6961343582
Colombia,2002,71.5322748775
Colombia,2001,52.2227551538
Costa Rica,2014,77.388564179
Costa Rica,2013,76.7133372583
Costa Rica,2012,77.0508955801
Costa Rica,2011,77.0452782571
Costa Rica,2010,77.2106111093
Dominican Republic,2013,55.4190261981
Dominican Republic,2012,54.7691018384
Dominican Republic,2011,52.9531367936
Dominican Republic,2010,52.193891709
Dominican Republic,2009,52.6180640839
Dominican Republic,2008,53.5228375062
Dominican Republic,2007,55.9114830209
Dominican Republic,2006,54.9081353908
Dominican Republic,2005,54.5450651546
Dominican Republic,2004,56.5237304341
Dominican Republic,2003,55.8509105923
Dominican Republic,2002,54.6388751093
Dominican Republic,2001,55.6620825889
Dominican Republic,2000,57.6746000383
Ecuador,2014,59.3272627411
Ecuador,2013,59.66846687
Ecuador,2012,57.0811578874
Ecuador,2011,55.8566015475
Ecuador,2010,58.000492196
Ecuador,2009,56.5872410404
Ecuador,2008,57.9225505625
Ecuador,2007,56.3160162193
Ecuador,2006,55.7405696797
Ecuador,2005,55.4085287261
Ecuador,2004,53.0882575556
Ecuador,2003,56.4430357912
Ecuador,2000,54.4742533774
El Salvador,2014,62.6431513122
El Salvador,2013,60.1512637931
El Salvador,2012,60.5405601819
El Salvador,2011,60.5964402398
El Salvador,2010,60.3236076943
El Salvador,2009,59.2796544946
El Salvador,2008,61.7305334567
El Salvador,2007,62.2306538686
El Salvador,2006,63.4956872975
El Salvador,2005,61.4631700474
El Salvador,2004,62.9094309765
Guatemala,2014,62.2282483463
Guatemala,2006,53.5319200465
Guatemala,2000,50.8298972128
Honduras,2014,50.4293219744
Honduras,2013,45.6313437526
Honduras,2012,44.523656881
Honduras,2011,47.6433472861
Honduras,2010,45.8442596193
Honduras,2009,48.5130682001
Honduras,2008,49.8638827186
Honduras,2007,49.73980049
Honduras,2006,49.8594745108
Honduras,2005,49.8036373067
Honduras,2004,50.8449080979
Honduras,2003,50.5292008176
Honduras,2002,48.5013533978
Honduras,2001,53.0897798356
Latin America and the Caribbean,2014,66.6786547793
Latin America and the Caribbean,2009,65.8653321279
Latin America and the Caribbean,2004,63.0227002636
Latin America and the Caribbean,2000,60.7986171303
Mexico,2014,75.5915341103
Mexico,2012,71.3914743903
Mexico,2010,75.4136824021
Mexico,2008,73.9144175735
Mexico,2006,69.7196616976
Mexico,2005,71.1479266727
Mexico,2004,72.6408981367
Mexico,2002,68.1414229324
Mexico,2000,68.0380258396
Nicaragua,2014,56.4804153343
Nicaragua,2009,50.848903427
Nicaragua,2005,52.7567982211
Panama,2014,69.6992703355
Panama,2013,70.3043318862
Panama,2012,70.41211024
Panama,2011,70.1751672483
Panama,2010,68.2895682314
Panama,2009,66.9927815141
Panama,2008,68.3516327973
Paraguay,2014,57.9885831926
Paraguay,2013,57.5502011826
Paraguay,2012,53.9825186642
Paraguay,2011,55.2286576774
Paraguay,2010,54.344812333
Paraguay,2009,51.386510051
Paraguay,2008,53.0989875239
Paraguay,2007,50.8797540762
Paraguay,2006,48.5963090471
Paraguay,2005,48.6897457348
Paraguay,2004,44.9702518327
Paraguay,2003,46.2012585918
Paraguay,2002,44.932441786
Paraguay,2001,46.3113176952
Peru,2014,48.2194158778
Peru,2013,48.2665913057
Peru,2012,47.4214806598
Peru,2011,46.1925129329
Peru,2010,45.6554660738
Peru,2009,45.6859708497
Peru,2008,45.4024195548
Peru,2007,44.7444804396
Peru,2006,43.256174105
Peru,2005,41.611610537
Peru,2004,41.0145900208
Southern Cone,2014,75.4713879465
Southern Cone,2009,73.705221399
Southern Cone,2004,71.3934091474
Southern Cone,2000,71.2996999704
Uruguay,2014,76.0771473397
Uruguay,2013,75.8273521182
Uruguay,2012,76.0710614163
Uruguay,2011,75.5337360671
Uruguay,2010,74.4246527006
Uruguay,2009,73.7416278272
Uruguay,2008,73.2818734251
Uruguay,2007,72.8073580983
Uruguay,2006,72.5862198724
Uruguay,2005,72.1320925266
Uruguay,2004,71.2201669682
Uruguay,2003,71.0677406415
Uruguay,2002,70.7495275991
Uruguay,2001,71.8943768413
Uruguay,2000,73.4572610067
