COUNTRY,DATE,VALUE
Afghanistan,1974,"2,155,555,497.78"
Africa Western and Central,1974,"44,215,328,355.87"
Algeria,1974,"13,209,871,625.90"
Andorra,1974,"186,557,082.00"
Arab World,1974,"143,724,627,345.90"
Australia,1974,"88,963,890,935.89"
Austria,1974,"35,189,299,911.66"
"Bahamas, The",1974,"632,400,000.00"
Bangladesh,1974,"12,512,460,519.71"
Barbados,1974,"311,809,337.47"
Belgium,1974,"56,033,077,879.04"
Belize,1974,"103,160,450.45"
Benin,1974,"554,654,860.70"
Bermuda,1974,"312,600,000.00"
Bolivia,1974,"2,101,300,000.00"
Botswana,1974,"306,044,207.53"
Brunei Darussalam,1974,"1,073,591,624.00"
Burkina Faso,1974,"751,133,430.45"
Burundi,1974,"345,263,492.06"
Cambodia,1974,"588,443,893.69"
Cameroon,1974,"2,157,415,532.55"
Canada,1974,"160,949,188,139.06"
Caribbean small states,1974,"6,595,573,432.55"
Central African Republic,1974,"281,398,705.57"
Chad,1974,"652,532,795.08"
Chile,1974,"16,209,693,232.08"
China,1974,"144,188,970,821.07"
Colombia,1974,"12,370,029,583.64"
"Congo, Rep.",1974,"585,364,634.47"
Costa Rica,1974,"1,666,544,754.10"
Cote d'Ivoire,1974,"3,070,152,313.84"
Cuba,1974,"11,405,957,317.07"
Denmark,1974,"34,160,444,798.11"
Dominican Republic,1974,"2,925,700,000.00"
Early-demographic dividend,1974,"568,522,750,972.38"
East Asia & Pacific,1974,"865,270,508,011.10"
East Asia & Pacific (IDA & IBRD countries),1974,"220,680,062,228.99"
East Asia & Pacific (excluding high income),1974,"220,956,027,398.34"
Ecuador,1974,"6,599,257,044.12"
"Egypt, Arab Rep.",1974,"9,228,963,224.60"
El Salvador,1974,"1,665,880,000.00"
Equatorial Guinea,1974,"94,159,862.71"
Eswatini,1974,"264,320,940.96"
Euro area,1974,"1,299,297,401,470.17"
Europe & Central Asia,1974,"1,973,567,780,630.55"
European Union,1974,"1,451,653,955,755.56"
Faroe Islands,1974,"196,771,070.90"
Fiji,1974,"558,587,097.38"
Finland,1974,"24,848,821,490.47"
Fragile and conflict affected situations,1974,"131,591,754,494.92"
France,1974,"285,553,737,043.10"
French Polynesia,1974,"555,340,842.86"
Gabon,1974,"1,544,216,001.66"
"Gambia, The",1974,"95,796,021.69"
Germany,1974,"445,303,484,241.55"
Ghana,1974,"2,894,409,937.89"
Greece,1974,"25,351,306,818.18"
Greenland,1974,"169,918,948.63"
Guatemala,1974,"3,161,499,900.00"
Guinea-Bissau,1974,"98,775,328.95"
Guyana,1974,"433,954,545.45"
Haiti,1974,"565,399,296.72"
Heavily indebted poor countries (HIPC),1974,"48,547,919,805.25"
High income,1974,"4,217,063,891,607.14"
Honduras,1974,"1,034,500,000.00"
"Hong Kong SAR, China",1974,"9,388,695,366.85"
IBRD only,1974,"1,125,975,805,749.21"
IDA & IBRD total,1974,"1,251,783,970,090.55"
IDA blend,1974,"50,389,609,913.45"
IDA only,1974,"76,605,928,706.95"
IDA total,1974,"124,489,039,185.45"
Iceland,1974,"1,515,190,595.30"
India,1974,"99,525,899,116.05"
Indonesia,1974,"25,802,409,638.55"
