COUNTRY,DATE,VALUE
United States,2022,3.45
United States,2021,3.46
United States,2020,3.70
United States,2019,3.43
United States,2018,3.32
United States,2017,3.32
United States,2016,3.42
United States,2015,3.48
United States,2014,3.69
United States,2013,4.03
United States,2012,4.46
United States,2011,4.82
United States,2010,4.90
United States,2009,4.88
United States,2008,4.45
United States,2007,4.07
United States,2006,4.04
United States,2005,4.09
United States,2004,4.02
United States,2003,3.83
United States,2002,3.45
United States,2001,3.12
United States,2000,3.11
United States,1999,3.09
United States,1998,3.20
United States,1997,3.41
United States,1996,3.55
United States,1995,3.86
United States,1994,4.22
United States,1993,4.60
United States,1992,4.97
United States,1991,4.88
United States,1990,5.61
United States,1989,5.87
United States,1988,6.07
United States,1987,6.42
United States,1986,6.63
United States,1985,6.45
United States,1984,6.24
United States,1983,6.32
United States,1982,6.81
United States,1981,5.65
United States,1980,5.15
United States,1979,4.95
United States,1978,4.94
United States,1977,5.16
United States,1976,5.19
United States,1975,5.62
United States,1974,5.95
United States,1973,5.89
United States,1972,6.52
United States,1971,6.94
United States,1970,8.03
United States,1969,8.63
United States,1968,9.27
United States,1967,9.42
United States,1966,8.44
United States,1965,7.59
United States,1964,8.05
United States,1963,8.83
United States,1962,9.33
United States,1961,9.16
United States,1960,8.99
