COUNTRY,YEAR,VALUE
Afghanistan,2021,14259995441.0759
Albania,2021,18032009220.4405
Algeria,2021,186231205262.082
American Samoa,2021,750000000
Andorra,2021,3324647529.381
Angola,2021,66505129987.7235
Antigua and Barbuda,2021,1602125925.92593
Argentina,2021,486564085480.036
Armenia,2021,13878908628.9378
Aruba,2021,2929446578.25104
Australia,2021,1556735770437.26
Austria,2021,480467037338.783
Azerbaijan,2021,54825411764.7059
Bahamas, The,2021,12037000000
Bahrain,2021,40840212765.9574
Bangladesh,2021,416271647911.014
Barbados,2021,5275242050
Belarus,2021,69673747131.87
Belgium,2021,598522422241.851
Belize,2021,2420550000
Benin,2021,17687623534.6665
Bermuda,2021,7290037000
Bhutan,2021,2768802960.11204
Bolivia,2021,40406111693.1983
Bosnia and Herzegovina,2021,23672712242.2149
Botswana,2021,18750182234.5317
Brazil,2021,1670647398904.9
Brunei Darussalam,2021,14006496614.3195
Bulgaria,2021,84414122840.1687
Burkina Faso,2021,19697516284.3787
Burundi,2021,2775798697.46022
Cabo Verde,2021,2051842618.70539
Cambodia,2021,36790163687.4421
Cameroon,2021,45011937346.8384
Canada,2021,2022378748423.23
Cayman Islands,2021,6060026520.10608
Central African Republic,2021,2516498412.46384
Chad,2021,16871937697.5854
Channel Islands,2021,11157003025.7186
Chile,2021,315325547162.072
China,2021,18201698719564
Colombia,2021,318524633225.395
Comoros,2021,1299039311.76025
Congo, Dem. Rep.,2021,55328482783.5393
Congo, Rep.,2021,14825690210.9157
Costa Rica,2021,64960725734.2362
Cote d'Ivoire,2021,72794636649.4342
Croatia,2021,69006802298.6956
Curacao,2021,2739594359.5908
Cyprus,2021,30372642502.4897
Czechia,2021,290972714482.313
Denmark,2021,408378204639.999
Djibouti,2021,3392796953.08939
Dominica,2021,562911111.111111
Dominican Republic,2021,94850719516.7127
Ecuador,2021,107179074000
Egypt, Arab Rep.,2021,424671765455.704
El Salvador,2021,29043140000
Equatorial Guinea,2021,12215878032.7166
Estonia,2021,37204563051.4723
Eswatini,2021,4785708165.93031
Ethiopia,2021,111261888668.864
Faroe Islands,2021,3664686796.62669
Fiji,2021,4305031649.74189
Finland,2021,294223210496.119
France,2021,2966433692008.09
French Polynesia,2021,6150640646.38319
Gabon,2021,19444935097.2333
Gambia, The,2021,2014158842.14596
Georgia,2021,18853115588.8106
Germany,2021,4348297440387.53
Ghana,2021,79514204730.3979
Greece,2021,218303801895.326
Greenland,2021,3293578467.57327
Grenada,2021,1122800000
Guam,2021,6234000000
Guatemala,2021,86455519686.8841
Guinea,2021,17069115737.8259
Guinea-Bissau,2021,1878659686.58993
Guyana,2021,8041362110.31175
Haiti,2021,20877414952.6375
Honduras,2021,28144331506.6149
Hong Kong SAR, China,2021,368954169748.818
Hungary,2021,183282685440.486
Iceland,2021,25770339317.3897
India,2021,3167270623260.47
Indonesia,2021,1186509691086.73
Iran, Islamic Rep.,2021,383436202446.695
Iraq,2021,209691945713.103
Ireland,2021,531306516907.984
Isle of Man,2021,7931193222.06405
Israel,2021,489851549972.347
Italy,2021,2179207773596.09
Jamaica,2021,14657586159.4316
Japan,2021,5039148168861.22
Jordan,2021,46296100140.8451
Kazakhstan,2021,197112255360.612
Kenya,2021,109703658904.994
Kiribati,2021,285259893.983064
Korea, Rep.,2021,1818432106880.04
Kosovo,2021,9413403724.01899
Kuwait,2021,148350671614.185
Kyrgyz Republic,2021,9249133946.26531
Lao PDR,2021,18827148530.9347
Latvia,2021,38183326784.9335
Lebanon,2021,23131941556.7843
Lesotho,2021,2412130021.64641
Liberia,2021,3513049500
Libya,2021,35217995647.2862
Liechtenstein,2021,7912602342.18895
Lithuania,2021,67037321008.9679
Luxembourg,2021,86386759695.1653
Macao SAR, China,2021,30969334705.0515
Madagascar,2021,14354731964.331
Malawi,2021,12378129750.9872
Malaysia,2021,373784823672.946
Maldives,2021,5252457369.55218
Mali,2021,22999245262.6719
Malta,2021,19723563354.6779
Marshall Islands,2021,258900000
Mauritania,2021,9222536364.01272
Mauritius,2021,11484348857.8529
Mexico,2021,1316569466735.28
Micronesia, Fed. Sts.,2021,391601946.963072
Moldova,2021,13691869264.0794
Monaco,2021,8623242743.29564
Mongolia,2021,15286441737.6686
Montenegro,2021,5861427505.12493
Morocco,2021,142022058447.231
Mozambique,2021,16168055475.4449
Myanmar,2021,66345291160.1683
Namibia,2021,12402486183.6396
Nauru,2021,175513984.500084
Nepal,2021,36924841394.2605
Netherlands,2021,1054472123449.6
New Caledonia,2021,10071349663.8484
New Zealand,2021,253977931814.967
Nicaragua,2021,14209020361.8508
Niger,2021,14915002436.069
Nigeria,2021,440833635873.827
North Macedonia,2021,14000283827.0154
Northern Mariana Islands,2021,914000000
Norway,2021,503367986030.268
Oman,2021,87323797139.1417
Pakistan,2021,348516647445.148
Palau,2021,235752900
Panama,2021,67396392500
Papua New Guinea,2021,26109413521.3117
Paraguay,2021,39950899938.7482
Peru,2021,226328766459.634
Philippines,2021,394087359848.11
Poland,2021,689170171187.004
Portugal,2021,256055879091.139
Puerto Rico (US),2021,106426600000
Qatar,2021,179732009560.44
Romania,2021,286578196368.297
Russian Federation,2021,1829186719575.1
Rwanda,2021,11078787095.1791
Samoa,2021,843923638.733018
San Marino,2021,1855395999.76534
Sao Tome and Principe,2021,524402455.54816
Saudi Arabia,2021,982661066666.667
Senegal,2021,27520784129.7508
Serbia,2021,66159884072.5308
Seychelles,2021,1487173794.80528
Sierra Leone,2021,7173379137.26091
Singapore,2021,436591382250.464
Sint Maarten (Dutch part),2021,1353071061.45251
Slovak Republic,2021,120560912620.599
Slovenia,2021,61529280461.092
Solomon Islands,2021,1522794913.0914
Somalia,2021,9483997390.00062
South Africa,2021,420886877628.703
Spain,2021,1461244901852.69
Sri Lanka,2021,88556698937.7033
St. Kitts and Nevis,2021,858622222.222222
St. Lucia,2021,1867185185.18518
St. Martin (French part),2021,649206156.194207
St. Vincent and the Grenadines,2021,888677777.777778
Sudan,2021,34229513774.9936
Suriname,2021,3107923197.96954
Sweden,2021,637186904843.636
Switzerland,2021,815309330986.719
Syrian Arab Republic,2021,14353205678.4991
Tajikistan,2021,8937805347.13963
Tanzania,2021,70655628147.8986
Thailand,2021,506194668789.937
Timor-Leste,2021,3624889673.07263
Togo,2021,8342243645.94438
Tonga,2021,518228028.701685
Trinidad and Tobago,2021,24177305760.2763
Tunisia,2021,47073234359.1819
Turkiye,2021,819865223976.115
Turkmenistan,2021,50007428571.4286
Turks and Caicos Islands,2021,1236459000
Tuvalu,2021,60196405.7138393
Uganda,2021,40529788744.0595
Ukraine,2021,199765859570.935
United Arab Emirates,2021,415178792756.978
United Kingdom,2021,3143323050707.26
United States,2021,23681171000000
